name,year,duration,genre,rating,votes,director,actor_1,actor_2,actor_3
3rd eye,2019,145,Horror,6.3,6,Sanjay Niranjan,deepak bhatia,mukul dev,sakshi dwivedi
404: error not found,2011,121,"Drama, Mystery, Thriller",7.3,2548,Prawaal Raman,rajvvir aroraa,imaaduddin shah,nishikant kamat
417 miles,2016,75,Drama,4.8,9,Mainak Dhar,marilia colturato,kyara jacob,kyara ralella jacob
498a-the wedding gift,2012,113,"Drama, Family, Musical",7.8,21,Suhaib Ilyasi,srishti gautam,farida jalal,supriya karnik
5 ghantey mien 5 crore,2012,111,Thriller,5.7,75,Faisal Saif,nassar abdulla,shawar ali,rashid khan
5 rifles,1974,134,"Action, Comedy",6.5,36,I.S. Johar,rakesh khanna,rajesh khanna,ambika johar
5ters: castle of dark master,2011,110,"Action, Adventure, Fantasy",4.6,19,G. Venugopal,akash,avinash,gagan
6-5=2,2014,104,Horror,4.2,171,Bharat Jain,prashantt guptha,gaurav paswala,gaurav kothari
68 pages,2007,92,Drama,6.2,31,Sridhar Rangayan,mouli ganguly,joy sengupta,jayati bhatia
7 1/2 phere: more than a wedding,2005,136,"Comedy, Drama",5.3,281,Ishaan Trivedi,juhi chawla,irrfan khan,manoj pahwa
7 bijliyaan,1988,126,Action,5.0,7,Raju Saigal,tina ambani,shoma anand,krishan dhawan
7 hours to go,2016,115,"Crime, Thriller",5.7,398,Saurabh Varma,sandeepa dhar,natasa stankovic,shiv panditt
7 islands and a metro,2006,100,Documentary,6.2,10,Dutta Madhusree,vibha chhibber,harish khanna,om prakash
7 khoon maaf,2011,137,"Drama, Mystery, Thriller",6.1,5640,Vishal Bhardwaj,priyanka chopra jonas,vivaan shah,neil nitin mukesh
7 saal baad,1987,127,"Drama, Horror, Musical",4.1,34,S.U. Syed,sharmila tagore,suresh oberoi,navin nischol
706,2019,120,Thriller,5.3,449,Shravankumar Tiwari,mohan agashe,raayo s. bakhirta,divya dutta
72 hours: martyr who never died,2019,130,"Action, Biography, Drama",5.3,249,Avinash Dhyani,avinash dhyani,yeshi dema,alka amin
8 x 10 tasveer,2009,122,"Action, Fantasy, Mystery",5.4,5459,Nagesh Kukunoor,akshay kumar,ayesha takia,javed jaffrey
8119 miles,2021,115,"Adventure, Drama, Mystery",6.6,21,Joe Eshwar,ranji vijayan,kuriakose oonnittan,guy bleyaert
88 antop hill,2003,119,"Mystery, Thriller",4.7,66,Kushan Nandy,atul kulkarni,rahul dev,suchitra pillai
9 o' clock,2017,124,Action,5.3,9,Amrit Raj Thakur,arun bakshi,ajeet goswami,rohit rajawat
99,2009,135,"Comedy, Crime, Drama",7.3,2767,Krishna D.K.,raj nidimoru,kunal khemu,boman irani
99 songs,2019,128,"Musical, Romance",7.4,1901,Vishwesh Krishnamoorthy,ehan bhat,edilsy vargas,tenzing dalha
99.9 fm,2005,90,"Crime, Drama",4.8,38,Sanjay Bhatia,shawar ali,rajkumar kanojia,jai nagra
a billion colour story,2016,105,Drama,8.1,412,Padmakumar Narasimhamurthy,dhruva padmakumar,gaurav sharma,vasuki
a daughter's tale pankh,2017,145,Drama,6.3,10,Premraaj,rajinder verma,sunil lahri,nishigandha wad
a death in the gunj,2016,110,"Drama, Thriller",7.5,4637,Konkona Sen Sharma,kalki koechlin,vikrant massey,gulshan devaiah
a far afternoon: a painted saga by krishen khanna,2015,72,"Documentary, Biography",7.7,10,Sruti Harihara Subramanian,,,
a film by aravind,2005,150,"Horror, Mystery",6.8,179,Sekhar Suri,sherlyn chopra,rajeev kanakala,richard rishi
a flat,2010,103,"Drama, Horror, Romance",4.5,202,Hemant Madhukar,jimmy sheirgill,sanjay suri,hazel croney
a flying jatt,2016,151,"Action, Adventure, Comedy",3.0,4145,Remo D'Souza,tiger shroff,jacqueline fernandez,nathan jones
a game called relationship,2020,109,"Comedy, Romance",6.3,181,Vivek Sharma,mandy takhar,vivek sharma,sumit suri
a gentleman,2017,145,"Action, Comedy",6.2,5227,Krishna D.K.,raj nidimoru,sidharth malhotra,jacqueline fernandez
a gift of love: sifar,2019,95,"Drama, Romance",8.0,33,Dhruv Sachdev,sanjay deyali,sudha chandran,anang desai
a journey of samyak buddha,2013,127,Drama,7.3,17,Praveen Damle,geeta agrawal,jyoti bagat,gautam dhengare
a mermaid called aida,1996,52,Documentary,6.4,7,Riyad Vinci Wadia,aida banaji,ajay mehta,
a new love ishtory,2013,140,Romance,6.0,80,John Mathew Matthan,raqesh bapat,gurpreet kaur chadha,smita jaykar
a rifle and a bag,2020,89,Documentary,6.8,15,Cristina Hanes,isabella rinaldi,arya rothe,
a scandall,2016,112,Thriller,3.1,142,Ishaan Trivedi,johnny baweja,reeth mazumder-roberts,manav kaul
a sublime love story: barsaat,2005,143,"Drama, Romance",3.8,627,Suneel Darshan,bobby deol,bipasha basu,priyanka chopra jonas
a suitable girl,2017,90,Documentary,6.9,337,Sarita Khurana,smriti mundhra,sima taparia,
a thin line,2019,104,Drama,7.9,24,Vierendrra Lalit,trivikram mattoo,rahul roy,akansha shivhare
a wednesday,2008,104,"Action, Crime, Drama",8.1,75118,Neeraj Pandey,anupam kher,naseeruddin shah,jimmy sheirgill
aa ab laut chalen,1999,177,"Musical, Romance, Drama",5.5,1621,Rishi Kapoor,rajesh khanna,akshaye khanna,aishwarya rai bachchan
aa bb kk,2018,121,Drama,8.0,249,Ramkumar Shedge,shravani abhang,sajid ali,tamannaah bhatia
